State,Raised,Religion
Belize,6117,Nazarene
Belize,17189,Pentecostal
Belize,115035,Roman Catholic
Belize,371,Salvation Army
Belize,12160,Seventh Day Adventis
Belize,14984,Other Religions
Belize,21795,No Religion
Belize,1367,Not Specified
Bermuda,64237,Total
Bermuda,5497,African Methodist Ep
Bermuda,10138,Anglican
Bermuda,124,Baha'i
Bermuda,786,Baptist
Bermuda,652,Brethren
Bermuda,1001,Church of God
Bermuda,850,Jehovah Witness
Bermuda,135,Jewish
Bermuda,251,Lutheran
Bermuda,1747,Methodist
Bermuda,616,Muslim
Bermuda,5309,Non-denominational
Bermuda,2246,Pentecostal
Bermuda,1300,Presbyterian
Bermuda,212,Rastafarian
Bermuda,9340,Roman Catholic
Bermuda,708,Salvation Army
Bermuda,4273,Seventh Day Adventis
Bermuda,1527,Other
Bermuda,4399,Other Religions
Bermuda,253,Ethiopian Orthodox
Bermuda,1407,Not Stated
Bermuda,11466,None
Botswana,1189688,Total
Botswana,71329,Badimo
Botswana,713,Baha'i
Botswana,852160,Christian
Botswana,3017,Hindu
Botswana,5036,Muslim
Botswana,7639,Other
Botswana,244832,No Religion
Botswana,4962,Unknown
Brazil,190755799,Total
Brazil,1561071,Adventist
Brazil,12314410,Assembly of God
Brazil,3723853,Baptist
Brazil,243966,Buddhist
Brazil,1393208,Jehovah Witness
Brazil,107329,Jewish
Brazil,999498,Lutheran
Brazil,340938,Methodist
Brazil,921209,Presbyterian
Brazil,61739,Spiritualist
Brazil,1953260,Other Religions
Brazil,15335510,No Religion
Brazil,643598,Not Specified
Brazil,241941,Not Declared
Brazil,560781,Brasilian Apostolic 
Brazil,167363,Candomble
Brazil,2289634,Christian Congregati
Brazil,3848876,Espiritia
Brazil,845383,God is Love
Brazil,131571,Orthodox Catholic
Brazil,8047813,Other Evangelical Pe
Brazil,9358386,Other Traditional Ev
Brazil,123280172,Roman Apostolic Cath
Brazil,407331,Umbanda
Brazil,1873243,Universal of the Kin
Brazil,103716,Messianica
Bulgaria,7364570,Total
Bulgaria,7364570,Total
Bulgaria,1715,Armeno-Gregorian
Bulgaria,1715,Armeno-Gregorian
Bulgaria,48945,Catholic
Bulgaria,48945,Catholic
Bulgaria,4374135,Eastern Orthodox
Bulgaria,4374135,Eastern Orthodox
Bulgaria,577139,Muslim
Bulgaria,577139,Muslim
Bulgaria,64476,Protestant
Bulgaria,64476,Protestant
Bulgaria,706,Yiddish
Bulgaria,706,Yiddish
Bulgaria,9023,Other
Bulgaria,9023,Other
Bulgaria,272264,No Religion
Bulgaria,272264,No Religion
Bulgaria,409898,Not Specified
Bulgaria,409898,Not Specified
Bulgaria,1606269,Unknown
Bulgaria,1606269,Unknown
Bulgaria,7928901,Total
Bulgaria,7928901,Total
Bulgaria,6500,Armeno-Gregorian
Bulgaria,6500,Armeno-Gregorian
Bulgaria,43811,Catholic
Bulgaria,43811,Catholic
Bulgaria,6552751,Eastern Orthodox
Bulgaria,6552751,Eastern Orthodox
Bulgaria,966978,Muslim
Bulgaria,966978,Muslim
Bulgaria,42308,Protestant
Bulgaria,42308,Protestant
Bulgaria,653,Yiddish
Bulgaria,653,Yiddish
Bulgaria,7784,Other
Bulgaria,7784,Other
Bulgaria,24807,Not Specified
Bulgaria,24807,Not Specified
Bulgaria,283309,Unknown
Bulgaria,283309,Unknown
Burkina Faso,14017262,Total
Burkina Faso,2150309,Animist
Burkina Faso,2664236,Catholic
Burkina Faso,8485149,Muslim
Burkina Faso,585154,Protestant
Burkina Faso,79485,Other
Burkina Faso,52929,No Religion
Burkina Faso,10312609,Total
Burkina Faso,2444088,Animist
Burkina Faso,1711893,Catholic
Burkina Faso,5764748,Muslim
Burkina Faso,309378,Protestant
Burkina Faso,20625,Other
Burkina Faso,61876,Other Religions
Burkina Faso,61876,No Religion
Burundi,8053574,Total
Burundi,185361,Adventist
Burundi,4941833,Catholic
Burundi,200509,Muslim
Burundi,1722039,Protestant
Burundi,2747,Traditional
Burundi,494533,Other Religions
Burundi,25454,Jehovah's Witnesses
Burundi,491098,Unknown
Cambodia,13395682,Total
Cambodia,12984523,Buddhist
Cambodia,50056,Christian
Cambodia,257022,Islam 
Cambodia,104081,Other
Canada,32852325,Total
Canada,64940,Aboriginal spiritual
Canada,66940,Adventist
Canada,36280,Agnostic
Canada,1631845,Anglican
Canada,1220,Antiochian Orthodox 
Canada,13730,Armenian Orthodox
Canada,5700,Associated Gospel
Canada,48675,Atheist
Canada,18945,Baha'i
Canada,635840,Baptist
Canada,366830,Buddhist
Canada,1960,Charismatic Renewal
Canada,3000,Christadelphian
Canada,2510,Christian Congregati
Canada,50720,Christian and Missio
Canada,5370,Christian or Plymout
Canada,65395,Christian Reformed C
Canada,15815,Church of Christ
Canada,105365,Church of Jesus Chri
Canada,7290,Church of God
Canada,9015,Church of Nazarene
Canada,16255,Coptic Orthodox
Canada,2290,Doukhobors
Canada,4355,Dutch Reformed
Canada,92650,Evangelical
Canada,6545,Evangelical Free Chu
Canada,7820,Evangelical Missiona
Canada,10555,Free Methodists
Canada,870,Gnostic
Canada,220255,Greek Orthodox
Canada,497960,Hindu
Canada,3450,Humanist
Canada,1815,Interdenominational
Canada,1053945,Islam 
Canada,3320,Jains
Canada,137780,Jehovah Witness
Canada,329500,Jewish
Canada,478180,Lutheran
Canada,179195,Mennonite
Canada,22750,Methodist
Canada,520,Mission de l'Esprit 
Canada,5020,Moravian
Canada,2225,New Age
Canada,5220,New Apostolic
Canada,43595,Non-denominational
Canada,15270,Pagan
Canada,478705,Pentecostal
Canada,472385,Presbyterian
Canada,550965,Protestant nfd
Canada,2725,Quakers
Canada,1060,Rastafarian
Canada,3300,Reorganized Church o
Canada,12728880,Roman Catholic
Canada,7085,Romanian Orthodox
Canada,25245,Russian Orthodox
Canada,70955,Salvation Army
Canada,1050,Satanist
Canada,1745,Scientology
Canada,22780,Serbian Orthodox
Canada,915,Shinto
Canada,454960,Sikh
Canada,4315,Spiritualist
Canada,840,Swedenborgian (New C
Canada,3625,Taoist
Canada,23845,Ukrainian Orthodox
Canada,15125,Unitarian
Canada,2007610,United Church
Canada,2565,Unity-New Thought-Pa
Canada,1585,Vineyard Christian F
Canada,13290,Wesleyan
Canada,600,Worldwide Church of 
Canada,6130,Zoroastrian
Canada,28865,Other Catholic
Canada,6145,Other Christians
Canada,220270,Other Orthodox Churc
Canada,53685,Other Religions
Canada,22965,Other Reformed Churc
Canada,7762200,No Religion
Canada,51790,Ukrainian Catholic
Canada,1600,Apostolic Christian 
Canada,18110,Brethren in Christ
Canada,2013,Christians
Canada,10120,Canadian Reformed Ch
Cayman Islands,55036,Total
Cayman Islands,2252,Anglican
Cayman Islands,4541,Baptist
Cayman Islands,12460,Church of God
Cayman Islands,613,Jehovah Witness
Cayman Islands,2908,Non-denominational
Cayman Islands,3916,Pentecostal
Cayman Islands,7745,Roman Catholic
Cayman Islands,5171,Seventh Day Adventis
Cayman Islands,1335,Wesleyan
Cayman Islands,3892,Other
Cayman Islands,335,Not Stated
Cayman Islands,5116,None
Cayman Islands,4750,Presbyterian and Ref
Chile,11226309,Total
Chile,11226309,Total
Chile,7853428,Catholic
Chile,7853428,Catholic
Chile,1699725,Evangelical
Chile,1699725,Evangelical
Chile,119455,Jehovah Witness
Chile,119455,Jehovah Witness
Chile,14976,Judaism
Chile,14976,Judaism
Chile,103735,Mormon
Chile,103735,Mormon
Chile,2894,Muslim
Chile,2894,Muslim
Chile,6959,Orthodox
Chile,6959,Orthodox
Chile,493147,Other Religions
